Nom (ne pas importer),id,annee,nb_femmes_exposees_expo_collective,nb_total_exposes_expo_collective
"Le lavoir numérique
Maison Photographique- Robert Doisneau
Gentilly",41,2020,3,4
"Le lavoir numérique
Maison Photographique- Robert Doisneau
Gentilly",41,2019,2,6
Centre Photographique Rouen Normandie,42,2021,7,15
Centre Photographique Rouen Normandie,42,2020,0,3
Centre Photographique Rouen Normandie,42,2019,4,19
"Galerie Carré d'Art
Chartres de Bretagne",43,2021,3,13
"Galerie Carré d'Art
Chartres de Bretagne",43,2020,2,3
"Galerie Carré d'Art
Chartres de Bretagne",43,2019,1,4
"Galerie Carré d'Art
Chartres de Bretagne",43,2018,1,6
"Galerie Carré d'Art
Chartres de Bretagne",43,2017,1,4
LE BAL,44,2021,0,3
LE BAL,44,2020,0,2
LE BAL,44,2019,1,2
"CACP Villa Pérochon
Le Centre d'Art Contemporain Photographique
Niort",45,2021,1,2
"CACP Villa Pérochon
Le Centre d'Art Contemporain Photographique
Niort",45,2020,0,2
"CACP Villa Pérochon
Le Centre d'Art Contemporain Photographique
Niort",45,2019,149,269
"CACP Villa Pérochon
Le Centre d'Art Contemporain Photographique
Niort",45,2017,4,7
"CACP Villa Pérochon
Le Centre d'Art Contemporain Photographique
Niort",45,2015,2,3
"Musée Nicéphore Niépce
Chalon-sur-Saône",46,2021,13,33
"Musée Nicéphore Niépce
Chalon-sur-Saône",46,2020,1,2
"Musée Nicéphore Niépce
Chalon-sur-Saône",46,2019,2,3
"Musée Nicéphore Niépce
Chalon-sur-Saône",46,2018,4,20
"Musée Nicéphore Niépce
Chalon-sur-Saône",46,2017,0,3
"Galerie Le lieu
Lorient",47,2021,2,5
"Galerie Le lieu
Lorient",47,2020,1,2
"Galerie Le lieu
Lorient",47,2019,5,8
"Galerie Le lieu
Lorient",47,2018,0,3
"Galerie Le lieu
Lorient",47,2017,2,8
"Galerie Confluence
Nantes",48,2021,6,8
"Galerie Confluence
Nantes",48,2020,1,2
"Galerie Confluence
Nantes",48,2019,11,12
"Carré Amelot
La Rochelle ",49,2021,4,29
"Carré Amelot
La Rochelle ",49,2020,1,2
"Carré Amelot
La Rochelle ",49,2019,4,28
